,restaurant,url,category,distance,star,num_reviews
24,RDs Southern BBQ,https://www.doordash.com/store/443364/?pickup=false,"$$ • Sandwiches, Chicken",22 min • 0.5 mi,4.6,(197)
25,Angeethi Asli Dhaba,https://www.doordash.com/store/443223/?pickup=false,"$$ • Indian, Barbecue",23 min • 0.5 mi,4.2,(183)
26,Church's Texas Chicken,https://www.doordash.com/store/1464604/?pickup=false,"$$ • Chicken, Chicken Tenders",21 min • 1.2 mi,4.5,(299)
27,Burrito Boyz,https://www.doordash.com/store/205278/?pickup=false,"$$ • Gluten-Free, Nachos",20 min • 0.8 mi,4.4,(404)
28,Sunrise Caribbean Restaurant,https://www.doordash.com/store/205246/?pickup=false,"$ • Breakfast, Caribbean",23 min • 1.7 mi,4.3,(321)
29,Bombay Blue,https://www.doordash.com/store/2423883/?pickup=false,"$$ • Indian, Curry",24 min • 0.5 mi,4.7,(65)
30,Pizza Depot,https://www.doordash.com/store/783263/?pickup=false,"$ • Family Meals, Plant Based",25 min • 2.4 mi,4.1,(167)
31,Yum Shawarma,https://www.doordash.com/store/247731/?pickup=false,"$$ • Burgers, Wraps",26 min • 2.3 mi,4.3,(620+)
32,Tadka King,https://www.doordash.com/store/2491717/?pickup=false,"$$ • Tandoori, Burgers",20 min • 300 ft,4.0,(47)
33,Fresh Burrito,https://www.doordash.com/store/205362/?pickup=false,"$$ • Mexican, Burritos",19 min • 0.8 mi,4.1,(415)
34,D Spot Dessert Cafe,https://www.doordash.com/store/2571356/?pickup=false,"$$ • Ice Cream, Milk Shakes",25 min • 2.3 mi,4.7,(52)
35,Nova Grill & Bakery,https://www.doordash.com/store/1555360/?pickup=false,"$$ • Bakery, Sandwiches",22 min • 0.2 mi,4.6,(38)
36,Kelseys Original Roadhouse,https://www.doordash.com/store/205359/?pickup=false,"$$ • Fried Chicken, Chicken",27 min • 1.9 mi,4.3,(750+)
37,Harvey's,https://www.doordash.com/store/205292/?pickup=false,"$$ • Chicken, Sandwiches",19 min • 0.7 mi,4.2,(760+)
38,Balista,https://www.doordash.com/store/2391176/?pickup=false,"$$ • Sandwiches, Wraps",21 min • 1.1 mi,4.3,(29)
39,Silver Spoon,https://www.doordash.com/store/205215/?pickup=false,"$ • Indian, Fast Food",28 min • 1.2 mi,3.8,(750+)
