,restaurant,url,category,distance,star,num_reviews
42,Neptune Chinese Kitchen 凤鸣粥面,https://www.doordash.com/store/511547/?pickup=false,"$$ • Chinese, Snacks",22 min • 0.8 mi,4.4,"(2,600+)"
43,The Poke Guy,https://www.doordash.com/store/783119/?pickup=false,"$$ • Poke, Dessert",15 min • 0.3 mi,4.8,"(4,300+)"
44,Frankie's Italian Kitchen & Bar,https://www.doordash.com/store/328197/?pickup=false,"$$ • Italian, Pizza",19 min • 800 ft,4.5,(710+)
45,La Belle Patate,https://www.doordash.com/store/28463/?pickup=false,"$$ • Poutineries, Sweets",19 min • 0.9 mi,4.8,"(2,000+)"
46,La Taqueria Pinche Taco Shop,https://www.doordash.com/store/28053/?pickup=false,"$ • Mexican, Tacos",16 min • 0.3 mi,4.5,"(3,100+)"
47,Budgies Burritos,https://www.doordash.com/store/28081/?pickup=false,"$ • Mexican, Burritos",22 min • 1.3 mi,4.8,(910+)
48,Pho Goodness,https://www.doordash.com/store/31054/?pickup=false,"$$ • Vietnamese, Banh Mi",19 min • 0.8 mi,4.7,"(1,500+)"
49,Minato Sushi Restaurant,https://www.doordash.com/store/67245/?pickup=false,"$$ • Japanese, Sushi",23 min • 1.3 mi,4.3,"(3,900+)"
50,Tacofino Ocho,https://www.doordash.com/store/643354/?pickup=false,"$$ • Mexican, Tacos",26 min • 1.1 mi,4.5,"(3,400+)"
51,Earls Kitchen + Bar (Test Kitchen),https://www.doordash.com/store/28201/?pickup=false,"$$ • Canadian, Burgers",24 min • 0.4 mi,4.5,(580+)
52,Shizen Ya,https://www.doordash.com/store/28105/?pickup=false,"$$ • Japanese, Organic",20 min • 0.4 mi,4.6,"(1,300+)"
53,Donair Dude,https://www.doordash.com/store/151151/?pickup=false,"$$ • Middle Eastern, Falafel",16 min • 0.3 mi,4.6,"(1,800+)"
54,Glory Juice Co.,https://www.doordash.com/store/175351/?pickup=false,"$$ • Breakfast, Vegan",14 min • 0.5 mi,4.7,"(1,800+)"
55,Pizza Garden,https://www.doordash.com/store/42788/?pickup=false,"$ • Pizza, Vegetarian",23 min • 0.3 mi,4.4,"(3,900+)"
56,Harvest Community Foods,https://www.doordash.com/store/58655/?pickup=false,"$$ • Noodles, Dessert",17 min • 0.8 mi,4.8,"(1,300+)"
57,Hello Nori,https://www.doordash.com/store/1380530/?pickup=false,"$$ • Sushi, Japanese",18 min • 0.6 mi,4.8,(610+)
58,KFC,https://www.doordash.com/store/1138855/?pickup=false,"$$ • Chicken, Sandwiches",27 min • 0.8 mi,4.2,"(2,200+)"
59,Kokoro Tokyo Mazesoba,https://www.doordash.com/store/543917/?pickup=false,"$$ • Japanese, Tapas/Small Plates",16 min • 0.2 mi,4.8,"(2,300+)"
60,Pholicious,https://www.doordash.com/store/42782/?pickup=false,"$ • Vietnamese, Smoothies",18 min • 0.2 mi,4.3,"(1,100+)"
61,Solly's Bagelry,https://www.doordash.com/store/335205/?pickup=false,"$$ • Bakery, Bagels",30 min • 1.1 mi,4.7,"(3,700+)"
62,One Saigon,https://www.doordash.com/store/98730/?pickup=false,"$ • Vietnamese, Pho",20 min • 0.5 mi,4.4,(820+)
63,Fresh Bowl,https://www.doordash.com/store/28489/?pickup=false,"$$ • Thai, Rice Bowl",17 min • 0.5 mi,4.6,(720+)
64,Zefferelli's Restaurant,https://www.doordash.com/store/1001183/?pickup=false,"$$ • Italian, Beer",23 min • 0.6 mi,4.5,(660+)
65,Yum Sweet Shop,https://www.doordash.com/store/531672/?pickup=false,"$$ • Bakery, Ice Cream",28 min • 2.3 mi,4.8,"(3,000+)"
66,Rice and Noodle,https://www.doordash.com/store/191731/?pickup=false,"$$ • Noodles, Pad Thai",29 min • 0.7 mi,4.5,"(3,900+)"
67,Sushi California,https://www.doordash.com/store/800095/?pickup=false,"$$ • Japanese, Sushi",27 min • 0.6 mi,4.6,"(3,900+)"
68,Field & Social,https://www.doordash.com/store/1344863/?pickup=false,"$$ • Takeout, Pickup",16 min • 0.4 mi,4.8,"(1,200+)"
69,Szechuan Chili 蜀香园,https://www.doordash.com/store/98659/?pickup=false,"$ • Chinese, Chicken",25 min • 1.1 mi,4.6,"(1,800+)"
70,Donair DK,https://www.doordash.com/store/871848/?pickup=false,"$$ • Middle Eastern, Shawarma",18 min • 0.7 mi,4.4,(740+)
71,Basil Box,https://www.doordash.com/store/622959/?pickup=false,"$$ • Gluten-Free, Snacks",15 min • 0.4 mi,4.5,"(1,200+)"
72,Pho Express Angkor Noodle House,https://www.doordash.com/store/446013/?pickup=false,"$$ • Vietnamese, Fried Rice",23 min • 1.2 mi,4.5,"(1,200+)"
73,Sushi 7,https://www.doordash.com/store/98564/?pickup=false,"$$ • Japanese, Sushi",29 min • 1.8 mi,4.7,"(1,300+)"
74,Earls Kitchen + Bar,https://www.doordash.com/store/28200/?pickup=false,"$$ • Canadian, Alcohol",22 min • 0.4 mi,4.2,"(1,300+)"
75,MeeT in Gastown,https://www.doordash.com/store/896989/?pickup=false,"$ • Burgers, Brunch",24 min • 0.5 mi,4.6,"(2,800+)"
76,Planetary Burger,https://www.doordash.com/store/1151908/?pickup=false,"$$ • Burgers, Grocery",25 min • 1.7 mi,4.7,"(1,100+)"
77,Sushi Bang,https://www.doordash.com/store/98571/?pickup=false,"$ • Sushi, Japanese",23 min • 1.1 mi,4.5,"(2,800+)"
78,Al Basha Best Shawarma and Falafel,https://www.doordash.com/store/178627/?pickup=false,"$$ • Chicken, Wraps",18 min • 0.9 mi,4.6,(760+)
79,Mister Artisan Ice Cream,https://www.doordash.com/store/64775/?pickup=false,"$$ • Ice Cream, Dessert",16 min • 0.5 mi,4.8,(770+)
80,The Mexican Antojitos Y Cantina,https://www.doordash.com/store/28118/?pickup=false,"$$ • Mexican, Brunch",22 min • 0.4 mi,4.7,"(1,100+)"
81,The Ramen Butcher,https://www.doordash.com/store/178748/?pickup=false,"$$ • Japanese, Ramen",30 min • 0.7 mi,4.7,"(1,300+)"
82,A&W Canada,https://www.doordash.com/store/28547/?pickup=false,"$ • Canadian, Breakfast",15 min • 700 ft,4.4,"(1,200+)"
83,Thida Thai Restaurant,https://www.doordash.com/store/98488/?pickup=false,"$$ • Thai, Soup",25 min • 0.8 mi,4.5,"(1,700+)"
84,Spicy 6 Fine Indian Cuisine,https://www.doordash.com/store/28183/?pickup=false,"$$ • Indian, Vegetarian",22 min • 0.6 mi,4.6,"(2,100+)"
85,Kita No Donburi,https://www.doordash.com/store/98464/?pickup=false,"$$ • Japanese, Rice Bowl",18 min • 0.3 mi,4.6,(850+)
86,Ganache Patisserie,https://www.doordash.com/store/869876/?pickup=false,"$$ • Pastries, Cakes",17 min • 0.6 mi,4.8,(490)
87,MrBeast Burger,https://www.doordash.com/store/23057597/?pickup=false,"$ • Burgers, Sandwiches",19 min • 0.5 mi,4.5,(153)
88,West Oak,https://www.doordash.com/store/791137/?pickup=false,"$$ • American, Burgers",24 min • 0.3 mi,4.4,(700+)
89,Fresh Donair,https://www.doordash.com/store/125826/?pickup=false,"$$ • Greek, Shawarma",13 min • 0.4 mi,4.4,(488)
90,Heirs Pears,https://www.doordash.com/store/529335/?pickup=false,"$$ • Salads, Breakfast",18 min • 0.3 mi,4.4,(267)
91,Mello,https://www.doordash.com/store/882933/?pickup=false,"$$ • Donuts, Dessert",16 min • 0.7 mi,4.8,(405)
92,Chancho Tortilleria,https://www.doordash.com/store/431942/?pickup=false,"$$ • Mexican, Tortas",16 min • 0.5 mi,4.8,(930+)
93,Heirloom Juice Bar,https://www.doordash.com/store/735191/?pickup=false,"$$ • Coffee & Tea, Smoothies",26 min • 1.8 mi,4.7,"(1,400+)"
94,Delicious Pho,https://www.doordash.com/store/98640/?pickup=false,"$$ • Vietnamese, Pho",15 min • 600 ft,4.5,(459)
95,Do Chay,https://www.doordash.com/store/210748/?pickup=false,"$$ • Vietnamese, Vegan",25 min • 0.6 mi,4.5,"(2,800+)"
96,Falafel King Mediterranean Food,https://www.doordash.com/store/328193/?pickup=false,"$$ • Mediterranean, Wraps",22 min • 800 ft,4.6,(520+)
97,Taishoken Ramen,https://www.doordash.com/store/335218/?pickup=false,"$$ • Japanese, Gyoza",16 min • 0.3 mi,4.7,(630+)
98,Banana Leaf,https://www.doordash.com/store/28129/?pickup=false,"$$ • Chinese, Seafood",19 min • 0.7 mi,4.6,"(1,700+)"
99,Juice Truck,https://www.doordash.com/store/566701/?pickup=false,"$$ • Juice Bar, Smoothies",18 min • 0.4 mi,4.8,"(1,200+)"
100,Yopo Sweet Mandarin 太湖,https://www.doordash.com/store/28107/?pickup=false,"$$ • Chinese, Dim Sum",18 min • 0.4 mi,4.5,(860+)
101,Caffe Artigiano,https://www.doordash.com/store/28237/?pickup=false,"$ • Cafe, Bakery",19 min • 0.4 mi,4.8,(140)
102,Lee's Donuts,https://www.doordash.com/store/446122/?pickup=false,"$$ • Dessert, Canadian",20 min • 1.1 mi,4.8,"(1,100+)"
103,Gusto - A Taste of Italy,https://www.doordash.com/store/587569/?pickup=false,"$$ • Italian, Pizza",19 min • 0.7 mi,4.6,(336)
104,Pacific Poke,https://www.doordash.com/store/73634/?pickup=false,"$$ • Poke, Healthy",17 min • 0.7 mi,4.6,"(1,400+)"
105,Railtown Cafe,https://www.doordash.com/store/566742/?pickup=false,"$$ • Breakfast, Cookies",17 min • 0.3 mi,4.7,(560+)
106,Hungry Guys Kitchen,https://www.doordash.com/store/32338/?pickup=false,"$$ • Salads, Soup",14 min • 0.4 mi,4.8,(394)
107,Subway,https://www.doordash.com/store/155060/?pickup=false,"$ • Build Your Own, Cookies",13 min • 700 ft,4.3,(830+)
