,restaurant,url,category,distance,star,num_reviews
33,Cosmic Pizza & Donair,https://www.doordash.com/store/1267582/?pickup=false,"$$ • Pizza, Poutineries",20 min • 0.2 mi,4.4,(420)
34,Pizza 73,https://www.doordash.com/store/491696/?pickup=false,"$$ • Pizza, Sandwiches",21 min • 0.6 mi,4.4,"(1,000+)"
35,Booster Juice,https://www.doordash.com/store/166576/?pickup=false,"$ • Juice Bars & Smoothies, Healthy",18 min • 0.6 mi,4.7,(530+)
36,Namaste India,https://www.doordash.com/store/1721788/?pickup=false,"$$ • Indian, Vegetarian",19 min • 0.4 mi,4.5,(301)
37,Tacos On Whyte,https://www.doordash.com/store/612426/?pickup=false,"$$ • Mexican, Nachos",26 min • 1.9 mi,4.5,(229)
38,Blue Orchid Chinese Restaurant,https://www.doordash.com/store/155419/?pickup=false,"$$ • Chinese, Seafood",21 min • 0.8 mi,4.4,(371)
39,MOXIES,https://www.doordash.com/store/1585267/?pickup=false,"$$ • Bar and Grill, Salads",24 min • 1.0 mi,4.4,(310)
40,Freshii,https://www.doordash.com/store/229268/?pickup=false,"$$ • Tacos, Burritos",14 min • 0.3 mi,4.4,(493)
41,Rice Bowl Deluxe,https://www.doordash.com/store/172665/?pickup=false,"$$ • Rice Bowl, Noodles",30 min • 2.1 mi,4.5,(900+)
42,1ST RND,https://www.doordash.com/store/935084/?pickup=false,"$$ • Alcohol, Burgers",22 min • 0.8 mi,4.4,(346)
43,Quesada Burritos & Tacos,https://www.doordash.com/store/1710937/?pickup=false,"$$ • Mexican, Tacos",15 min • 0.5 mi,4.5,(297)
44,The Chopped Leaf,https://www.doordash.com/store/172743/?pickup=false,"$ • Chicken, Wraps",15 min • 0.3 mi,4.2,(158)
45,Fuzion Donuts,https://www.doordash.com/store/2835034/?pickup=false,"$$ • Bakery, Donuts",15 min • 0.3 mi,4.6,(51)
46,Hong Kong Bakery,https://www.doordash.com/store/445767/?pickup=false,"$$ • Bakery, Cakes",17 min • 0.5 mi,4.4,(160)
47,Marble Slab Creamery,https://www.doordash.com/store/493490/?pickup=false,"$$ • Cakes, Ice Cream",15 min • 0.6 mi,4.6,(230)
48,Szechuan Garden,https://www.doordash.com/store/155420/?pickup=false,"$ • Chinese, Vegetarian",29 min • 1.9 mi,4.3,(670+)
49,Loaded Pierogi,https://www.doordash.com/store/726405/?pickup=false,"$$ • Salads, Beer",21 min • 0.5 mi,4.6,(276)
50,Gangnam Street Food,https://www.doordash.com/store/1496572/?pickup=false,"$$ • Korean, Snacks",24 min • 1.2 mi,4.7,(381)
51,Remedy Cafe,https://www.doordash.com/store/150716/?pickup=false,"$$ • Vegetarian Friendly, Wraps",20 min • 0.3 mi,4.7,(71)
52,Dagu Rice Noodle 大鼓米线,https://www.doordash.com/store/953320/?pickup=false,"$$ • Chinese, Snacks",24 min • 0.3 mi,4.6,(213)
