,restaurant,url,category,distance,star,num_reviews
42,The Coup,https://www.doordash.com/store/101990/?pickup=false,"$$ • Alcohol, Beer",25 min • 1.0 mi,4.5,"(3,400+)"
43,Blowers & Grafton Halifax Street Food,https://www.doordash.com/store/1389930/?pickup=false,"$$ • Pizza, Poutineries",25 min • 0.8 mi,4.6,"(1,300+)"
44,Pho Hoai Vietnamese Noodle House,https://www.doordash.com/store/1710144/?pickup=false,"$$ • Vietnamese, Pho",16 min • 0.4 mi,4.7,(364)
45,Calgary Court Restaurant,https://www.doordash.com/store/316780/?pickup=false,"$$ • Chinese, Noodles",27 min • 0.5 mi,4.6,"(2,800+)"
46,Milestones Grill + Bar,https://www.doordash.com/store/249814/?pickup=false,"$$ • Bar and Grill, Alcohol",21 min • 400 ft,4.5,(540+)
47,Papa Johns,https://www.doordash.com/store/99954/?pickup=false,"$$ • Italian, Pizza",22 min • 1.2 mi,4.4,"(1,500+)"
48,Singapore Sam's,https://www.doordash.com/store/99559/?pickup=false,"$$ • Chinese, Chicken",24 min • 0.5 mi,4.4,"(1,500+)"
49,Carl's Jr,https://www.doordash.com/store/1491637/?pickup=false,"$$ • Burgers, Chicken",25 min • 1.9 mi,4.5,"(1,000+)"
50,JusFruit,https://www.doordash.com/store/426436/?pickup=false,"$$ • Fruit Tea, Juice Bar",25 min • 1.2 mi,4.5,"(1,000+)"
51,Po-ke,https://www.doordash.com/store/1241822/?pickup=false,"$ • Bowls, Japanese",23 min • 1.1 mi,4.6,"(1,400+)"
52,K Street Food,https://www.doordash.com/store/989038/?pickup=false,"$$ • Street Food, Ramen",22 min • 1.3 mi,4.5,"(1,200+)"
53,PARLOUR ICE CREAM,https://www.doordash.com/store/2489848/?pickup=false,"$$ • Ice Cream, Vegan",15 min • 0.6 mi,5.0,(122)
54,King of Shawarma,https://www.doordash.com/store/99877/?pickup=false,"$$ • Wraps, Kebabs",22 min • 1.3 mi,4.5,"(1,200+)"
55,Nam Vietnamese Kitchen,https://www.doordash.com/store/100241/?pickup=false,"$$ • Vietnamese, Pho",17 min • 0.8 mi,4.6,(660+)
56,Tea Funny,https://www.doordash.com/store/99853/?pickup=false,"$$ • Dim Sum, Dumplings",26 min • 1.4 mi,4.4,(174)
57,The Halal Guys,https://www.doordash.com/store/1761360/?pickup=false,"$$ • Halal, Sandwiches",21 min • 1.0 mi,4.4,(406)
58,Ten Degrees Chocolate,https://www.doordash.com/store/1476087/?pickup=false,"$$ • Breakfast, Chocolates",18 min • 0.9 mi,4.7,(396)
59,Cinnaholic,https://www.doordash.com/store/2667023/?pickup=false,"$$ • Bakery, Pastries",17 min • 0.6 mi,4.7,(194)
60,Yemeni Village Restaurant,https://www.doordash.com/store/1010906/?pickup=false,"$$ • Coffee, Chicken",23 min • 0.9 mi,4.6,(730+)
61,Shawarma and Falafel City,https://www.doordash.com/store/99204/?pickup=false,"$ • Middle Eastern, Vegetarian",24 min • 1.3 mi,4.4,(750+)
62,Damascus,https://www.doordash.com/store/99927/?pickup=false,"$$ • Wraps, Salads",20 min • 0.8 mi,4.6,(820+)
63,House of Kabob,https://www.doordash.com/store/100240/?pickup=false,"$$ • Greek, Kebabs",28 min • 1.3 mi,4.5,"(1,900+)"
64,7-Eleven,https://www.doordash.com/store/992258/?pickup=false,"$$ • Burgers, Wings",16 min • 0.3 mi,4.4,(316)
65,Quesada Burritos & Tacos,https://www.doordash.com/store/99756/?pickup=false,"$$ • Mexican, Tacos",16 min • 0.4 mi,4.3,(191)
66,DashMart,https://www.doordash.com/convenience/store/2456357/?pickup=false,"$ • Grocery, Snacks",28 min • 3.3 mi,4.7,(27)
67,COBS Bread,https://www.doordash.com/store/96482/?pickup=false,"$$ • Bakery, Pizza",21 min • 1.3 mi,4.6,"(1,000+)"
68,PurrTea,https://www.doordash.com/store/1584744/?pickup=false,"$$ • Milk Tea, Healthy Smoothies",21 min • 0.9 mi,4.9,(120)
69,Blaze Pizza,https://www.doordash.com/store/23046692/?pickup=false,$$ • Pizza,23 min • 0.8 mi,4.4,(81)
