,restaurant,url,category,distance,star,num_reviews
43,Wienstein and Gavino's,https://www.doordash.com/store/778867/?pickup=false,"$$ • Italian, Beer",800 ft • 27 min,4.5,(940+)
44,Grillado's Poulet Grille Peri Peri,https://www.doordash.com/store/630141/?pickup=false,"$$ • Chicken, Sandwiches",0.5 mi • 20 min,4.4,(520+)
45,Restaurant Ethan,https://www.doordash.com/store/971428/?pickup=false,"$$ • Chinese, Barbecue",1.1 mi • 26 min,4.7,(291)
46,Dairy Queen,https://www.doordash.com/store/843851/?pickup=false,"$ • Ice Cream, Milk Shakes",0.2 mi • 15 min,4.5,(820+)
47,Spicebros,https://www.doordash.com/store/674889/?pickup=false,"$$ • Asian Fusion, Indian",1.2 mi • 25 min,4.5,"(1,100+)"
48,Liquid Nutrition,https://www.doordash.com/store/641336/?pickup=false,"$$ • Healthy, Juice Bar",900 ft • 15 min,4.7,(249)
49,Bacaro Urban Pizzeria,https://www.doordash.com/store/630013/?pickup=false,"$$ • Cafe, Desserts",1.0 mi • 23 min,4.5,(274)
50,Raku,https://www.doordash.com/store/654427/?pickup=false,"$$ • Japanese, Chicken",1.4 mi • 29 min,4.6,(361)
51,Student Tasty Biryani,https://www.doordash.com/store/1731480/?pickup=false,"$$ • Indian, Pakistani",0.2 mi • 19 min,4.2,(349)
52,La Foumagerie,https://www.doordash.com/store/979428/?pickup=false,"$$ • Sandwiches, Salads",1.9 mi • 29 min,4.4,(254)
53,Cocktail Hawaii,https://www.doordash.com/store/627189/?pickup=false,"$$ • Hawaiian, Creperies",0.2 mi • 18 min,4.5,(550+)
54,K2+,https://www.doordash.com/store/693874/?pickup=false,"$$ • Japanese, Sushi",600 ft • 29 min,4.5,"(1,000+)"
55,Ofish MTL,https://www.doordash.com/store/23048878/?pickup=false,"$$ • Seafood, Sandwiches",800 ft • 14 min,4.8,(76)
56,Tsukuyomi,https://www.doordash.com/store/1011597/?pickup=false,"$$ • Japanese, Ramen",0.3 mi • 21 min,4.4,(109)
57,Cuisine Szechuan,https://www.doordash.com/store/651594/?pickup=false,"$$ • Chinese, Noodles",0.2 mi • 21 min,4.2,(434)
58,Romados Rôtisserie et Pâtisserie,https://www.doordash.com/store/2369982/?pickup=false,"$$ • Poutineries, Chicken",1.4 mi • 30 min,4.5,(444)
59,Freshii,https://www.doordash.com/store/968268/?pickup=false,"$$ • Tacos, Burritos",0.3 mi • 15 min,4.5,(750+)
60,Don Tacos,https://www.doordash.com/store/624913/?pickup=false,"$$ • Mexican, Burritos",0.4 mi • 24 min,4.2,(880+)
61,Le Petit Sao (Vieux Montréal),https://www.doordash.com/store/1005820/?pickup=false,"$$ • Vietnamese, Pho",1.1 mi • 26 min,4.7,(409)
62,Nilufar (Rue Sainte-Catherine O),https://www.doordash.com/store/1060798/?pickup=false,"$$ • Middle Eastern, Falafel",0.4 mi • 18 min,4.6,(122)
63,Lafleur Restaurant (Montreal),https://www.doordash.com/store/678583/?pickup=false,"$$ • Burgers, Poutineries",0.9 mi • 23 min,4.1,(423)
64,Le Taj,https://www.doordash.com/store/630240/?pickup=false,"$$ • Seafood, Naan",0.2 mi • 23 min,4.5,(489)
65,Cote St-Luc BBQ,https://www.doordash.com/store/872670/?pickup=false,"$$ • Canadian, Dessert",2.6 mi • 28 min,4.6,(880+)
