,restaurant,url,category,distance,star,num_reviews
44,Angry Dragonz On Kent,https://www.doordash.com/store/2819539/?pickup=false,"$$ • Rice Bowl, Noodles",0.5 mi • 19 min,4.4,(32)
45,The Prescott,https://www.doordash.com/store/298992/?pickup=false,"$$ • Italian, Pizza",1.6 mi • 28 min,4.4,(169)
46,Sushi Village,https://www.doordash.com/store/291012/?pickup=false,"$$ • Sushi, Chinese",0.6 mi • 30 min,4.5,(395)
47,Corazon De Maiz,https://www.doordash.com/store/1346336/?pickup=false,"$$ • Mexican, Burritos",0.5 mi • 19 min,4.6,(131)
48,Paradise Poke,https://www.doordash.com/store/1346343/?pickup=false,"$$ • Poke, Fast Food",0.3 mi • 20 min,4.8,(197)
49,Cinnaholic,https://www.doordash.com/store/23216927/?pickup=false,"$ • Bakery, Pastries",1.8 mi • 28 min,4.9,(27)
50,Viet Fresh,https://www.doordash.com/store/1361024/?pickup=false,"$$ • Vietnamese, Vegetarian",0.6 mi • 22 min,4.5,(113)
51,Cadmans Montreal Bagels,https://www.doordash.com/store/349908/?pickup=false,"$$ • American, Bagels",1.8 mi • 25 min,4.6,(200)
52,The King Eddy,https://www.doordash.com/store/298500/?pickup=false,"$$ • Burgers, Dinners",0.5 mi • 25 min,4.6,(600+)
53,Talay Thai,https://www.doordash.com/store/299304/?pickup=false,"$$ • Thai, Seafood",1.0 mi • 26 min,4.4,(110)
54,Oriental House Dining Lounge,https://www.doordash.com/store/298149/?pickup=false,"$$ • Chinese, Noodles",0.6 mi • 15 min,4.4,(101)
55,The Grand Pizzeria,https://www.doordash.com/store/299229/?pickup=false,"$$ • Italian, Alcohol",0.5 mi • 28 min,4.3,(239)
56,Safi Fine Foods,https://www.doordash.com/store/2286711/?pickup=false,"$$ • Breakfast, Coffee",1.1 mi • 23 min,4.5,(72)
57,Gongfu Bao,https://www.doordash.com/store/567416/?pickup=false,"$$ • Rice Bowl, Dessert",0.6 mi • 17 min,4.8,(166)
58,Gooney's,https://www.doordash.com/store/298916/?pickup=false,"$$ • Latin American, Sandwiches",0.4 mi • 18 min,4.6,(127)
59,Asian Kitchen,https://www.doordash.com/store/890756/?pickup=false,"$$ • Korean, Noodles",0.4 mi • 19 min,4.4,(41)
60,Ramen Isshin,https://www.doordash.com/store/2641124/?pickup=false,"$$ • Ramen, Appetizers",1.4 mi • 24 min,4.7,(56)
61,Lemon Grass,https://www.doordash.com/store/298216/?pickup=false,"$$ • Thai, Curry",0.7 mi • 26 min,4.4,(302)
62,Pi Co.,https://www.doordash.com/store/1014051/?pickup=false,"$$ • Pizza, Wood Fire Pizza",0.4 mi • 20 min,4.4,(276)
63,Season's Pizza,https://www.doordash.com/store/298703/?pickup=false,"$$ • Pizza, Italian",1.0 mi • 25 min,4.3,(241)
64,Al Quadrato Resto and Pizza,https://www.doordash.com/store/923238/?pickup=false,"$$ • Mexican, Pizza",0.5 mi • 18 min,4.0,(63)
65,Shanghai Wonton Noodle Restaurant 上海馄炖面馆,https://www.doordash.com/store/915940/?pickup=false,"$$ • Chinese, Dumplings",0.6 mi • 28 min,4.8,(154)
66,KFC,https://www.doordash.com/store/2689478/?pickup=false,"$$ • Chicken, Sandwiches",0.8 mi • 18 min,4.3,(50)
67,Hanleys Nashville Hot Chicken,https://www.doordash.com/store/1080006/?pickup=false,"$$ • Chicken, Dessert",800 ft • 25 min,4.4,(266)
68,1 For 1 Pizza,https://www.doordash.com/store/298174/?pickup=false,"$$ • Italian, Pizza",0.5 mi • 18 min,4.3,(121)
69,Banh Mi Bros,https://www.doordash.com/store/1379069/?pickup=false,"$$ • Vietnamese, Banh Mi",0.6 mi • 22 min,4.6,(79)
