,restaurant,url,category,distance,star,num_reviews
43,India Palace,https://www.doordash.com/store/369233/?pickup=false,"$ • Indian, Vegetarian",1.1 mi • 25 min,4.3,(770+)
44,Pho Hoi An,https://www.doordash.com/store/1563135/?pickup=false,"$$ • Vietnamese, Pho",0.6 mi • 26 min,4.6,(235)
45,Friends Donair and Shawarma,https://www.doordash.com/store/2365733/?pickup=false,"$$ • Shawarma, Snacks",1.4 mi • 24 min,4.6,(237)
46,Taste of Sri Lanka Restaurant,https://www.doordash.com/store/1287006/?pickup=false,"$$ • Vegetarian, Roti",0.6 mi • 19 min,4.6,(414)
47,The Tallest Poppy,https://www.doordash.com/store/341688/?pickup=false,"$$ • Alcohol, Sandwiches",1.0 mi • 28 min,4.7,"(1,200+)"
48,Elephant & Castle,https://www.doordash.com/store/966733/?pickup=false,"$ • Burgers, Sandwiches",800 ft • 25 min,4.2,(426)
49,Charisma of India,https://www.doordash.com/store/341491/?pickup=false,"$$ • Indian, Vegetarian",1.1 mi • 26 min,4.5,(900+)
50,New Asia Chinese Food,https://www.doordash.com/store/341626/?pickup=false,"$$ • Chinese, Seafood",1.3 mi • 26 min,4.4,(690+)
51,Farmery Estate Brewery,https://www.doordash.com/store/2671948/?pickup=false,"$$ • Alcohol, Beer",1.0 mi • 28 min,4.8,(161)
52,Isaytakoyummy,https://www.doordash.com/store/1549350/?pickup=false,$$ • Japanese,1.9 mi • 28 min,4.7,(590+)
53,East India Company,https://www.doordash.com/store/341646/?pickup=false,"$$ • Indian, Vegetarian",0.2 mi • 27 min,4.5,(850+)
54,The Original Pancake House (WPG),https://www.doordash.com/store/584795/?pickup=false,"$$ • American, Breakfast",0.6 mi • 27 min,4.3,(457)
55,Sushi Gen Restaurant,https://www.doordash.com/store/369394/?pickup=false,"$ • Japanese, Sushi",0.5 mi • 25 min,4.5,(309)
56,Next Stop Cafe,https://www.doordash.com/store/879428/?pickup=false,"$$ • Cafe, Milk Shakes",1.4 mi • 30 min,4.6,(550+)
57,Fergies Fish and Chips,https://www.doordash.com/store/341735/?pickup=false,"$$ • Seafood, Fish & Chips",0.6 mi • 28 min,4.6,(820+)
58,Ming Court Restaurant & Bar,https://www.doordash.com/store/549529/?pickup=false,"$$ • Chinese, Vegetarian",0.2 mi • 22 min,4.4,(351)
59,Little Caesars Pizza,https://www.doordash.com/store/1149001/?pickup=false,"$$ • Italian, Pizza",1.0 mi • 23 min,4.4,(469)
60,Tim Hortons,https://www.doordash.com/store/1033093/?pickup=false,"$ • Canadian, Sandwiches",700 ft • 13 min,4.4,(197)
61,Mr. Calzone,https://www.doordash.com/store/1801983/?pickup=false,"$$ • Middle Eastern, Pizza",1.1 mi • 28 min,4.2,(262)
62,MrBeast Burger Canada,https://www.doordash.com/store/2637696/?pickup=false,"$$ • Burgers, Cheeseburger",0.9 mi • 24 min,3.7,(600+)
63,Pizza Hut,https://www.doordash.com/store/944054/?pickup=false,"$$ • Italian, Pizza",1.0 mi • 23 min,4.4,(344)
64,Quesada Burritos & Tacos,https://www.doordash.com/store/632500/?pickup=false,"$$ • Mexican, Tacos",700 ft • 15 min,4.4,(482)
65,Booster Juice,https://www.doordash.com/store/2370340/?pickup=false,"$$ • Juice Bars & Smoothies, Healthy",0.2 mi • 17 min,4.7,(97)
66,King + Bannatyne,https://www.doordash.com/store/569735/?pickup=false,"$$ • Sandwiches, Vegan",0.4 mi • 19 min,4.7,(341)
67,Chaeban Ice Cream,https://www.doordash.com/store/563996/?pickup=false,"$$ • Dessert, Ice Cream",1.5 mi • 24 min,4.6,(252)
68,Chicken Delight,https://www.doordash.com/store/926927/?pickup=false,"$$ • Pizza, Chicken",0.8 mi • 21 min,4.4,(428)
69,Pizza Pizza,https://www.doordash.com/store/625748/?pickup=false,"$$ • Italian, Pizza",0.7 mi • 23 min,4.3,(710+)
70,Tipsy Cow,https://www.doordash.com/store/1547362/?pickup=false,"$$ • American, Burgers",900 ft • 23 min,4.5,(323)
71,Azalea Chinese Restaurant,https://www.doordash.com/store/341485/?pickup=false,"$$ • Chinese, Noodles",0.7 mi • 25 min,4.4,(550+)
72,Chosabi,https://www.doordash.com/store/2089382/?pickup=false,"$$ • Asian Food, Sushi",0.4 mi • 18 min,4.7,(100)
73,Bodegoes,https://www.doordash.com/store/582270/?pickup=false,"$$ • Mexican, Salads",0.4 mi • 20 min,4.6,(248)
74,Fusion Wok,https://www.doordash.com/store/1021184/?pickup=false,"$$ • Chinese, Noodles",1.3 mi • 23 min,4.5,(264)
75,Altanour Restaurant & Deli,https://www.doordash.com/store/782535/?pickup=false,"$$ • Deli, Wraps",0.8 mi • 24 min,4.5,(418)
76,Zorba's Greek + Italian,https://www.doordash.com/store/576580/?pickup=false,"$$ • Greek, Italian",0.6 mi • 25 min,4.5,(257)
77,Corrientes Argentine Pizzeria,https://www.doordash.com/store/341576/?pickup=false,"$$ • Latin American, Pizza",0.5 mi • 24 min,4.6,(476)
78,White Star Diner,https://www.doordash.com/store/341599/?pickup=false,"$$ • Sandwiches, Burgers",0.3 mi • 18 min,4.7,(297)
79,Les Saj Restaurant,https://www.doordash.com/store/23058118/?pickup=false,"$$ • Arabian, Wraps",0.5 mi • 17 min,4.4,
80,Honu Poke,https://www.doordash.com/store/2398044/?pickup=false,"$$ • Hawaiian, Poke",500 ft • 23 min,4.6,(91)
81,La Farina,https://www.doordash.com/store/1305675/?pickup=false,"$$ • Pizza, Keto",0.7 mi • 24 min,4.7,(246)
82,Circle K,https://www.doordash.com/convenience/store/1344371/?pickup=false,"$$ • Breakfast, Ice Cream",0.8 mi • 20 min,4.2,(302)
83,Eva's Gelato & Coffee Bar,https://www.doordash.com/store/884862/?pickup=false,"$$ • Argentine, Gelato",1.9 mi • 26 min,4.9,(139)
84,The Good Will Social Club/Khao House (Portage Ave),https://www.doordash.com/store/2494997/?pickup=false,"$$ • Burgers, Sandwiches",0.8 mi • 23 min,4.8,(144)
85,Shawarma Xpress,https://www.doordash.com/store/552567/?pickup=false,"$$ • Mediterranean, Shawarma",0.3 mi • 22 min,4.3,(195)
86,A&W Canada,https://www.doordash.com/store/581691/?pickup=false,"$ • Canadian, Breakfast",400 ft • 15 min,4.3,(353)
87,Saffron's Restaurant,https://www.doordash.com/store/341781/?pickup=false,"$$ • Mediterranean, Pizza",1.5 mi • 25 min,4.1,(184)
88,Daanook Restaurant,https://www.doordash.com/store/1259677/?pickup=false,"$$ • Wraps, Burgers",0.3 mi • 17 min,4.7,(124)
89,99 Cent Pizza,https://www.doordash.com/store/823656/?pickup=false,"$$ • Chicken Wings, Pizza",0.6 mi • 20 min,3.4,(27)
90,Fusian Experience,https://www.doordash.com/store/341815/?pickup=false,"$$ • Dessert, Asian Fusion",0.2 mi • 30 min,4.6,(212)
91,Fortify Foods,https://www.doordash.com/store/922586/?pickup=false,"$$ • Coffee & Tea, Smoothies",1.1 mi • 29 min,4.8,(169)
92,Fete Ice Cream and Coffee,https://www.doordash.com/store/850291/?pickup=false,"$$ • Ice Cream, Cakes",0.5 mi • 30 min,4.8,(455)
93,Super Taste Pizza,https://www.doordash.com/store/369374/?pickup=false,"$ • Halal, Pizza",1.1 mi • 23 min,3.9,(342)
94,Rockdoc Testing Centre,https://www.doordash.com/store/2865120/?pickup=false,$$ • Pharmacy,0.2 mi • 15 min,3.0,
95,Bread N Biryani,https://www.doordash.com/store/1530006/?pickup=false,"$$ • Indian, Chinese",0.8 mi • 28 min,4.5,(218)
96,Capital Grill + Bar,https://www.doordash.com/store/2369531/?pickup=false,"$$ • Bar and Grill, Alcohol",0.3 mi • 22 min,4.7,(95)
97,Pastry Castle Bakery & Cafe,https://www.doordash.com/store/833736/?pickup=false,"$$ • Bakery, Cakes",0.2 mi • 17 min,4.5,(71)
98,Shark Club,https://www.doordash.com/store/1278221/?pickup=false,"$$ • Alcohol, Fries",400 ft • 25 min,4.5,(191)
99,Subway,https://www.doordash.com/store/790975/?pickup=false,"$ • Build Your Own, Cookies",0.3 mi • 15 min,3.4,(17)
100,Impression Delight,https://www.doordash.com/store/1638970/?pickup=false,"$$ • Cafe, Coffee & Tea",0.6 mi • 20 min,4.8,(113)
101,Banza Noodle & Tea House,https://www.doordash.com/store/1696217/?pickup=false,"$$ • Asian Fusion, Milk Tea",1.0 mi • 27 min,4.8,(102)
102,Cocoabeans,https://www.doordash.com/store/23236080/?pickup=false,"$$ • Bowls, Toast",1.6 mi • 26 min,5.0,(13)
103,Flying Pizza,https://www.doordash.com/store/369397/?pickup=false,"$$ • Greek, Chicken Wings",1.2 mi • 30 min,4.4,(181)
104,Taco Del Mar,https://www.doordash.com/store/1488348/?pickup=false,"$$ • Mexican, Tacos",1.7 mi • 27 min,3.9,(318)
105,Across the Board Game Cafe,https://www.doordash.com/store/565550/?pickup=false,"$$ • Cafe, Coffee & Tea",0.4 mi • 23 min,4.3,(42)
106,Cherry Creek Restaurant,https://www.doordash.com/store/565173/?pickup=false,"$$ • Cafe, Korean",0.3 mi • 24 min,4.5,(75)
107,Joey's Seafood Restaurants,https://www.doordash.com/store/584569/?pickup=false,"$$ • Seafood, Sandwiches",0.2 mi • 28 min,4.0,(138)
108,BANH MI MR LEE,https://www.doordash.com/store/22987050/?pickup=false,"$$ • Bubble Tea, Noodles",1.3 mi • 25 min,4.7,(23)
109,Freshii,https://www.doordash.com/store/946261/?pickup=false,"$$ • Tacos, Burritos",400 ft • 15 min,4.2,(79)
110,Gangnam Sushi,https://www.doordash.com/store/23273821/?pickup=false,"$$ • Sushi, Sashimi",1.5 mi • 29 min,4.6,
111,Variety Taste,https://www.doordash.com/store/1345120/?pickup=false,"$$ • Fast Food, Chicken",0.9 mi • 22 min,4.1,(20)
112,Dragon River,https://www.doordash.com/store/2879621/?pickup=false,"$$ • Chinese, Chicken",0.7 mi • 29 min,4.7,(78)
113,Tavern United,https://www.doordash.com/store/899101/?pickup=false,"$$ • Pubs, Keto",600 ft • 24 min,4.4,(46)
114,Asian Hot Pot,https://www.doordash.com/store/2916065/?pickup=false,"$$ • Chinese, Hot Pot",1.6 mi • 27 min,4.6,(21)
115,Sweet Aroma Chinese Restaurant,https://www.doordash.com/store/2615623/?pickup=false,"$$ • Chinese, Vegetarian",0.8 mi • 25 min,4.6,(44)
116,Atelier Kuroneko,https://www.doordash.com/store/22983997/?pickup=false,"$$ • Cheesecake, Bakery",0.9 mi • 23 min,4.8,
117,Merkato Restaurant,https://www.doordash.com/store/341541/?pickup=false,"$$ • Ethiopian, Vegetarian",0.4 mi • 29 min,4.2,(41)
118,Carnaval Brazilian Bbq,https://www.doordash.com/store/1717891/?pickup=false,"$$ • Brazilian, Sandwiches",0.5 mi • 29 min,3.8,(45)
119,Lolly's,https://www.doordash.com/store/2666273/?pickup=false,"$$ • Pizza, Brunch",0.3 mi • 26 min,4.0,(13)
120,Hot Hub Pizza,https://www.doordash.com/store/2570922/?pickup=false,"$$ • Pizza, Chicken",0.8 mi • 29 min,3.0,
121,Kawaii Crepe,https://www.doordash.com/store/23496393/?pickup=false,"$$ • Breakfast, Crepes",0.9 mi • 26 min,,
122,Bronuts Donuts + Coffee,https://www.doordash.com/store/712897/?pickup=false,"$$ • Bakery, Donuts",0.4 mi • Closed,4.7,(620+)
123,Oh Doughnuts,https://www.doordash.com/store/548986/?pickup=false,"$$ • Donuts, Dessert",0.3 mi • Closed,4.8,(920+)
124,Shawarma Khan,https://www.doordash.com/store/341667/?pickup=false,"$$ • Middle Eastern, Wraps",0.4 mi • Closed,4.4,(790+)
125,Pho Winnipeg,https://www.doordash.com/store/2358915/?pickup=false,"$$ • Vietnamese, Pho",1.6 mi • Closed,4.0,(221)
126,Scout: Coffee + Tea,https://www.doordash.com/store/633960/?pickup=false,"$$ • Sandwiches, Soup",1.2 mi • Closed,4.8,"(1,000+)"
127,Greenish,https://www.doordash.com/store/567819/?pickup=false,"$$ • Japanese, Sushi",900 ft • Closed,4.7,(670+)
128,Double Greeting Chinese Snack House,https://www.doordash.com/store/1841518/?pickup=false,"$$ • Chinese, Soup",0.5 mi • Closed,4.8,(473)
129,Super Deluxe Pizzeria,https://www.doordash.com/store/788154/?pickup=false,"$ • Pizza, Calzones",0.8 mi • Closed,4.7,(600+)
130,Verde Juice Bar,https://www.doordash.com/store/636768/?pickup=false,"$ • Juice Bar, Smoothies",1.5 mi • Closed,4.8,(540+)
131,"Soups, Sandwiches & More",https://www.doordash.com/store/878617/?pickup=false,"$$ • Soup, Salads",0.3 mi • Closed,4.6,(247)
132,Banh Mi Khanh Hoa,https://www.doordash.com/store/1108508/?pickup=false,"$$ • Vietnamese, Banh Mi",1.3 mi • Closed,4.8,(430)
133,Pinky's Bakeshop,https://www.doordash.com/store/860444/?pickup=false,"$$ • Bakery, Cookies",1.0 mi • Closed,4.7,(224)
134,Green Carrot Juice Company,https://www.doordash.com/store/587040/?pickup=false,"$$ • Juice Bar, Smoothies",1.0 mi • Closed,4.7,(426)
135,The Don Restaurant (Downtown),https://www.doordash.com/store/341663/?pickup=false,"$$ • Canadian, Breakfast",0.2 mi • Closed,4.4,(660+)
136,Oscar’s Deli,https://www.doordash.com/store/22982172/?pickup=false,"$$ • Beverages, Desserts",800 ft • Closed,4.7,(65)
137,Human Bean Coffee & Tea,https://www.doordash.com/store/576415/?pickup=false,"$$ • Coffee, Pastries",400 ft • Closed,4.8,(154)
138,Caked With Love Co.,https://www.doordash.com/store/572402/?pickup=false,"$$ • Bakery, Cookies",2.1 mi • Closed,4.7,(144)
139,Cordova Tapas & Wine,https://www.doordash.com/store/899717/?pickup=false,"$$ • Modern European, Tapas/Small Plates",0.4 mi • Closed,4.7,(68)
140,Sam Po Dim Sum Restaurant,https://www.doordash.com/store/1289718/?pickup=false,"$$ • Dim Sum, Seafood",0.7 mi • Closed,4.7,"(2,400+)"
141,Kai Pho,https://www.doordash.com/store/568160/?pickup=false,"$$ • Vietnamese, Bubble Tea",400 ft • Closed,4.6,(46)
142,Famena's Famous Roti & Curry,https://www.doordash.com/store/341729/?pickup=false,"$$ • Caribbean, Roti",800 ft • Closed,4.6,(325)
143,O Station Cafe,https://www.doordash.com/store/764295/?pickup=false,"$$ • Sandwiches, Espresso",1.2 mi • Closed,4.7,(264)
144,Gohe Ethiopian Restaurant,https://www.doordash.com/store/1286496/?pickup=false,"$$ • Ethiopian, Chicken",0.9 mi • Closed,4.5,(209)
